"Woningtype";"Bouwjaarklasse";"Perioden";"Regio's";"Beginstand woningvoorraad (aantal)";"Gemiddelde oppervlakte (m2)"
"Totaal";"1945 tot 1955";"2021";"Zeeland (PV)";11678;113
"Totaal";"1945 tot 1955";"2021";"Noord-Brabant (PV)";55473;123
"Totaal";"1945 tot 1955";"2021";"Limburg (PV)";37763;131
"Totaal";"1945 tot 1955";"2021";"Niet in te delen (PV)";0;
"Totaal";"1945 tot 1955";"2021";"Oost-Groningen (CR)";2938;121
"Totaal";"1945 tot 1955";"2021";"Delfzijl en omgeving (CR)";1197;142
"Totaal";"1945 tot 1955";"2021";"Overig Groningen (CR)";7907;98
"Totaal";"1945 tot 1955";"2021";"Noord-Friesland (CR)";5751;107
"Totaal";"1945 tot 1955";"2021";"Zuidwest-Friesland (CR)";2054;139
"Totaal";"1945 tot 1955";"2021";"Zuidoost-Friesland (CR)";2672;131
"Totaal";"1945 tot 1955";"2021";"Noord-Drenthe (CR)";3938;123
"Totaal";"1945 tot 1955";"2021";"Zuidoost-Drenthe (CR)";4232;118
"Totaal";"1945 tot 1955";"2021";"Zuidwest-Drenthe (CR)";3016;129
"Totaal";"1945 tot 1955";"2021";"Noord-Overijssel (CR)";5811;125
"Totaal";"1945 tot 1955";"2021";"Zuidwest-Overijssel (CR)";3143;111
"Totaal";"1945 tot 1955";"2021";"Twente (CR)";13690;106
"Totaal";"1945 tot 1955";"2021";"Veluwe (CR)";13193;114
"Totaal";"1945 tot 1955";"2021";"Achterhoek (CR)";8586;130
"Totaal";"1945 tot 1955";"2021";"Arnhem/Nijmegen (CR)";19522;113
"Totaal";"1945 tot 1955";"2021";"Zuidwest-Gelderland (CR)";5184;131
"Totaal";"1945 tot 1955";"2021";"Utrecht (CR)";19778;102
"Totaal";"1945 tot 1955";"2021";"Kop van Noord-Holland (CR)";6380;116
"Totaal";"1945 tot 1955";"2021";"Alkmaar en omgeving (CR)";2641;114
"Totaal";"1945 tot 1955";"2021";"IJmond (CR)";6586;96
