"";"Subject";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte"
"";"House type";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling"
"";"Year of construction class";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025"
"Regions";"Periods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2"
"Amsterdam";"2014";"413697";"26,950";"16798";"41783";"29754";"36305";"";"50434";"1939";"3,079";"10554";"7188";"5262";"";"363263";"25011";"13719";"31229";"22,566";"31043";"";"75";"78";"59";"77";"99";"92";"";"106";"157";"74";"96";"125";"135";"";"70";"72";"56";"70";"91";"85";""
"Amsterdam";"2015";"416966";"21640";"16986";"42097";"30031";"39004";"";"50881";"1,858";"3081";"10523";"7208";"5740";"";"366085";"19782";"13905";"31574";"22823";"33264";"";"75";"81";"60";"77";"99";"93";"";"107";"160";"75";"96";"125";"135";"";"71";"74";"56";"70";"90";"85";""
"Amsterdam";"2016";"424390";"21732";"16730";"42485";"30580";"39923";"4,483";"51357";"1850";"3082";"10517";"7207";"5820";"424";"373033";"19,882";"13,648";"31,968";"23373";"34103";"4,059";"75";"82";"60";"77";"97";"91";"61";"108";"166";"75";"96";"125";"136";"139";"70";"74";"56";"70";"89";"84";"53"
"Amsterdam";"2017";"428035";"21057";"16729";"43,000";"31125";"39,994";"9727";"52176";"1821";"3082";"10517";"7212";"5,877";"1224";"375859";"19236";"13,647";"32483";"23913";"34117";"8503";"75";"83";"60";"77";"97";"93";"60";"109";"168";"76";"96";"126";"136";"137";"70";"75";"56";"70";"88";"85";"49"
"Amsterdam";"2018";"432715";"21137";"16505";"44040";"31424";"39129";"15040";"52,807";"1825";"3,080";"10518";"7209";"5,838";"1929";"379,908";"19312";"13425";"33522";"24215";"33291";"13111";"76";"83";"61";"77";"97";"94";"64";"110";"168";"78";"97";"126";"136";"139";"71";"75";"57";"71";"89";"87";"52"
"Amsterdam";"2019";"441490";"21375";"16328";"44153";"31725";"39446";"22352";"53672";"1824";"3121";"10502";"7201";"5,863";"2,756";"387818";"19551";"13207";"33651";"24524";"33,583";"19,596";"76";"84";"61";"77";"97";"94";"66";"112";"170";"79";"97";"126";"137";"141";"71";"76";"57";"71";"88";"86";"55"
"Amsterdam";"2020";"447351";"21445";"15,989";"44,747";"32235";"38919";"27,889";"54214";"1819";"3106";"10476";"7197";"5883";"3,341";"393137";"19626";"12,883";"34271";"25038";"33036";"24,548";"76";"84";"62";"77";"97";"94";"67";"113";"170";"81";"98";"127";"138";"142";"71";"76";"57";"71";"88";"86";"57"
"Amsterdam";"2021";"449,989";"21455";"16010";"45110";"32164";"38650";"30484";"54380";"1823";"3106";"10469";"7176";"5,853";"3,571";"395609";"19632";"12904";"34641";"24,988";"32,797";"26913";"76";"85";"62";"77";"97";"94";"68";"113";"171";"81";"98";"127";"137";"144";"71";"77";"57";"70";"88";"87";"58"
"Amsterdam";"2022";"458397";"14,500";"16022";"45263";"32767";"38659";"36,990";"54,589";"1465";"3104";"10460";"7157";"5883";"3907";"403808";"13035";"12918";"34803";"25610";"32776";"33083";"76";"93";"62";"77";"96";"95";"69";"114";"179";"81";"98";"127";"138";"144";"71";"83";"57";"70";"88";"87";"60"
"Amsterdam";"2023";"474866";"14,881";"16408";"45945";"33234";"38,598";"44,594";"60011";"1589";"3,558";"10870";"7377";"6,075";"5106";"414855";"13292";"12,850";"35,075";"25,857";"32523";"39488";"77";"94";"63";"77";"97";"97";"69";"116";"179";"83";"100";"129";"139";"147";"71";"83";"57";"70";"88";"89";"59"
