"Populatie";"Kenmerken van huishoudens";"Perioden";"Regio's";"Particuliere huishoudens (x 1 000)";"Particuliere huishoudens relatief (%)";"Inkomen/Gemiddeld gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Mediaan gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Gemiddeld besteedbaar inkomen (1 000 euro)";"Inkomen/Mediaan besteedbaar inkomen (1 000 euro)"
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zwolle";59,8;100;31;28,3;44,4;37
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Groningen (AM)";358,3;100;28,4;26,1;39,9;33,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Friesland (AM)";292,6;100;29,7;27,1;42,9;36,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Drenthe (AM)";124;100;30;27,5;43,8;37,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Twente (AM)";275,4;100;30,5;27,4;45,1;37,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Stedendriehoek en Noordwest Veluwe (AM)";275,2;100;32,6;29,2;47,9;40,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Midden-Gelderland (AM)";183,1;100;30,6;27,8;43,9;36,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Rijk van Nijmegen (AM)";157,1;100;29,9;27,1;42,3;34,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Achterhoek (AM)";129,3;100;32,2;28,8;47,4;40,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Rivierenland (AM)";102,2;100;34;30,1;51,4;43,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Flevoland (AM)";165,8;100;31,4;29;46,9;41
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Gooi en Vechtstreek (AM)";119,9;100;39,7;31,5;58,2;41,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Midden-Utrecht (AM)";392,3;100;34,6;30,5;50,2;40
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Amersfoort (AM)";144,4;100;35,5;31,4;52,6;43,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noord-Holland Noord (AM)";300,1;100;33,4;29,9;48,8;40,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zaanstreek/Waterland (AM)";148,7;100;32,7;29,7;48,2;40,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Groot Amsterdam (AM)";634,4;100;34,2;27,8;47,2;34,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Holland Rijnland (AM)";245,9;100;34,3;30,4;50;40,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Midden-Holland (AM)";83,4;100;34,1;30,5;50,3;42,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Haaglanden (AM)";394,5;100;31,2;26,8;44,1;33,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Rijnmond (AM)";647,9;100;31,1;27,3;44,2;35,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Drechtsteden (AM)";126,7;100;32,3;29,1;47,4;39,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zeeland (AM)";174,4;100;31,6;28,6;45,4;38,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"West-Brabant (AM)";308,6;100;32,6;29,2;47,6;39,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Midden-Brabant (AM)";217,6;100;31,5;28,4;45,8;37,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noordoost-Brabant (AM)";267,1;100;34,3;30,1;50,7;41,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zuidoost-Brabant (AM)";234,6;100;33,4;29,4;48,1;38,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noord-Limburg (AM)";121,2;100;31,2;28,4;45,7;38,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zuid-Limburg (AM)";288,9;100;29,4;26,5;41,2;33,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Helmond-De Peel (AM)";110;100;32,4;28,9;48;40
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Midden-Limburg (AM)";116,3;100;32,3;29;46,8;39
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zuid-Holland Centraal (AM)";159,5;100;37,3;32,3;55,3;44,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Gorinchem (AM)";56,6;100;34,3;29,9;52;42,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Regio Zwolle (AM)";212,9;100;31,7;28,8;47,1;40,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zuid-Kennemerland en IJmond (AM)";174,6;100;35,6;30,4;51,4;39,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"FoodValley (AM)";148,7;100;32,6;29,3;48,5;40,4
