"Populatie";"Kenmerken van huishoudens";"Perioden";"Regio's";"Particuliere huishoudens (x 1 000)";"Particuliere huishoudens relatief (%)";"Inkomen/Gemiddeld gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Mediaan gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Gemiddeld besteedbaar inkomen (1 000 euro)";"Inkomen/Mediaan besteedbaar inkomen (1 000 euro)"
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Flevoland (CR)";175,4;100;31,5;29;47;41,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Aa en Hunze";11,1;100;33,6;30,7;49,3;43,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Aalsmeer";13,1;100;39,5;32,5;59,7;47,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Aalten";11,5;100;31,2;28,6;46,3;40,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Achtkarspelen";11,7;100;28,3;26,2;42,2;36,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Alblasserdam";8,2;100;31,8;28,7;48,3;41
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Albrandswaard";10,5;100;38,2;34,3;58,1;50,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Alkmaar";51,9;100;31,7;29;44,7;37,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Almelo";32,6;100;28,7;25,7;41,6;34,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Almere";88,6;100;31,8;29,5;47,2;41,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Alphen aan den Rijn";48,5;100;34,6;31,1;50,8;43,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Alphen-Chaam";4,2;100;37,4;32,5;56,9;47,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Altena";22,3;100;34,1;30,3;52,4;44,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Ameland";1,7;100;;27,2;;37,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Amersfoort";69;100;34,3;31;50,1;42,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Amstelveen";42,3;100;37,2;30,3;54,2;39,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Amsterdam";461,1;100;33,2;26,1;44,2;31,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Apeldoorn";73;100;32,3;29,2;46,8;39,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Arnhem";80;100;28,4;25,4;39,2;31,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Assen";31,2;100;29,9;27,9;42,3;36,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Asten";7,1;100;33,4;29,5;50,2;41,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Baarle-Nassau";3,1;100;33,2;29;48,8;38,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Baarn";11,1;100;38,3;31,5;55,5;41,6
